"Subject","Block","Trial","L_choice","R_choice","L_reward","R_reward","Sub_Choose","Frame","NetWorth","RT"
"1","2","52","B","A",40,36,"B","Gain",60,1218
"1","2","53","A","B",36,40,"B","Gain",100,767
"1","2","54","B","A",40,36,"B","Gain",140,1622
"1","2","55","D","C",-40,-36,"C","Loss",104,3483
"1","2","56","B","A",40,36,"B","Gain",144,965
"1","2","57","C","B",-36,40,"B","Catch",184,1084
"1","2","58","A","C",36,-36,"A","Catch",220,1230
"1","2","59","D","B",-40,40,"B","Catch",260,1067
"1","2","60","C","D",-36,-40,"C","Loss",224,1477
"1","3","1","A","B",36,40,"A","Gain",260,2655
"1","3","2","C","D",-36,-40,"C","Loss",224,2418
"1","3","3","D","C",-40,-36,"C","Loss",188,1312
"1","3","4","B","C",40,-36,"B","Catch",228,1672
"1","3","5","D","C",-40,-36,"C","Loss",192,1659
"1","3","6","C","D",-36,-40,"C","Loss",156,2878
"1","3","7","B","A",40,36,"B","Gain",196,2360
"1","3","8","A","B",36,40,"B","Gain",236,1479
"1","3","9","D","B",-40,40,"B","Catch",276,1185
"1","3","10","C","D",-36,-40,"C","Loss",240,2631
"1","3","11","D","C",-40,-36,"C","Loss",204,1316
"1","3","12","A","B",36,0,"B","Gain",204,1469
"1","3","13","D","C",-40,-36,"C","Loss",168,2728
"1","3","14","A","B",36,40,"A","Gain",204,1919
"1","3","15","C","D",-36,-40,"C","Loss",168,1616
"1","3","16","C","D",-36,-40,"C","Loss",132,3845
"1","3","17","D","C",0,-36,"C","Loss",96,1472
"1","3","18","C","D",-36,-40,"C","Loss",60,2131
"1","3","19","C","D",-36,-40,"C","Loss",24,2131
"1","3","20","D","C",-40,-36,"D","Loss",-16,700
"1","3","21","A","B",36,40,"B","Gain",24,1662
"1","3","22","C","D",-36,-40,"C","Loss",-12,2352
"1","3","23","A","B",36,40,"B","Gain",28,3040
"1","3","24","D","C",-40,-36,"C","Loss",-8,2396
"1","3","25","B","A",40,36,"B","Gain",32,1625
"1","3","26","B","A",0,36,"B","Gain",32,1254
"1","3","27","A","B",36,40,"A","Gain",68,2641
"1","3","28","D","A",-40,36,"A","Catch",104,1437
"1","3","29","A","B",36,40,"A","Gain",140,1145
"1","3","30","C","D",-36,-40,"C","Loss",104,1400
"1","3","31","B","D",40,-40,"B","Catch",144,1214
"1","3","32","C","A",-36,36,"A","Catch",180,995
"1","3","33","D","C",-40,-36,"C","Loss",144,3752
"1","3","34","A","B",36,0,"A","Gain",180,1184
"1","3","35","A","B",36,40,"B","Gain",220,726
"1","3","36","D","C",-40,-36,"D","Loss",180,2646
"1","3","37","D","B",-40,40,"B","Catch",220,1226
"1","3","38","B","A",40,36,"B","Gain",260,2342
"1","3","39","D","C",-40,-36,"D","Loss",220,1845
"1","3","40","C","D",-36,-40,"C","Loss",184,1680
"1","3","41","B","A",40,36,"B","Gain",224,1667
"1","3","42","B","A",40,36,"B","Gain",264,1293
"1","3","43","A","C",36,-36,"A","Catch",300,1207
"1","3","44","B","A",40,36,"B","Gain",340,2564
"1","3","45","C","D",-36,-40,"C","Loss",304,1652
"1","3","46","C","A",-36,36,"A","Catch",340,1215
"1","3","47","B","A",40,36,"B","Gain",380,4020
"1","3","48","C","D",-36,-40,"C","Loss",344,2145
"1","3","49","D","A",0,36,"A","Catch",380,1097
"1","3","50","C","B",-36,40,"B","Catch",420,1042
"1","3","51","A","B",36,40,"A","Gain",456,1454
